source_case,target_case,base_package_key,base_mcs_key,repaired_package_key,base_repair_size,step2_sat_status,num_element_checks,num_unsat_checks,num_sat_checks,locally_minimal,witness_removed_elements_for_failure
n2_m4,n2_m5,asymm+un+minlib+no_cycle4,no_cycle4,asymm+un+minlib,1,SAT,1,1,0,True,[]
n2_m4,n3_m4,asymm+un+minlib+no_cycle4,no_cycle4,asymm+un+minlib,1,SAT,1,1,0,True,[]
n2_m4,n2_m5,asymm+un+minlib+no_cycle4,minlib,asymm+un+no_cycle4,1,SAT,1,1,0,True,[]
n2_m4,n3_m4,asymm+un+minlib+no_cycle4,minlib,asymm+un+no_cycle4,1,SAT,1,1,0,True,[]
n2_m4,n2_m5,asymm+un+minlib+no_cycle4,un,asymm+minlib+no_cycle4,1,SAT,1,1,0,True,[]
n2_m4,n3_m4,asymm+un+minlib+no_cycle4,un,asymm+minlib+no_cycle4,1,SAT,1,1,0,True,[]
n2_m4,n2_m5,asymm+un+minlib+no_cycle4,asymm,un+minlib+no_cycle4,1,SAT,1,1,0,True,[]
n2_m4,n3_m4,asymm+un+minlib+no_cycle4,asymm,un+minlib+no_cycle4,1,SAT,1,1,0,True,[]
n2_m4,n2_m5,asymm+un+minlib+no_cycle3+no_cycle4,no_cycle4,asymm+un+minlib+no_cycle3,1,SAT,1,1,0,True,[]
n2_m4,n3_m4,asymm+un+minlib+no_cycle3+no_cycle4,no_cycle4,asymm+un+minlib+no_cycle3,1,SAT,1,1,0,True,[]
n2_m4,n2_m5,asymm+un+minlib+no_cycle3+no_cycle4,minlib,asymm+un+no_cycle3+no_cycle4,1,SAT,1,1,0,True,[]
n2_m4,n3_m4,asymm+un+minlib+no_cycle3+no_cycle4,minlib,asymm+un+no_cycle3+no_cycle4,1,SAT,1,1,0,True,[]
n2_m4,n2_m5,asymm+un+minlib+no_cycle3+no_cycle4,un,asymm+minlib+no_cycle3+no_cycle4,1,SAT,1,1,0,True,[]
n2_m4,n3_m4,asymm+un+minlib+no_cycle3+no_cycle4,un,asymm+minlib+no_cycle3+no_cycle4,1,SAT,1,1,0,True,[]
n2_m4,n2_m5,asymm+un+minlib+no_cycle3+no_cycle4,asymm,un+minlib+no_cycle3+no_cycle4,1,SAT,1,1,0,True,[]
n2_m4,n3_m4,asymm+un+minlib+no_cycle3+no_cycle4,asymm,un+minlib+no_cycle3+no_cycle4,1,SAT,1,1,0,True,[]
